State,AGE,LF,M,NW,PC,POP,PX,SOUTH,T,U,URB,W,X,XPOS
1,0.165999,0.512,19.2523,0.320782,0.203578,8.67,0.035,1,47,0.042,40.1,1102,0.324932,1
2,0.154263,0.485,7.5286,0.224143,0.326934,3.72,0.080851,1,58,0.047,32.3,920,0.3174,1
3,0.152304,0.508,5.6567,0.126838,0.400922,2.12,0.011765,0,82,0.076,36.5,1716,0.302128,1
4,0.132523,0.544,3.2094,0.063389,0.317876,66.1,0.07037,0,100,0.079,67.1,2184,0.297032,1
5,0.150324,0.524,2.8048,0.02146,0.34978,6.42,0.061538,0,222,0.042,57.4,1748,0.302152,1
6,0.132526,0.567,1.4085,0.027376,0.282964,9.94,0.1,0,164,0.054,64.1,2255,0.247715,1
7,0.138485,0.546,6.1778,0.138979,0.203556,1.29,0.05,1,161,0.031,46.5,2066,0.270326,1
8,0.142542,0.527,12.1511,0.2184,0.23163,12.2,0.053846,1,70,0.045,56.5,1431,0.280856,1
9,0.142673,0.523,1.3423,0.008213,0.198968,10.4,0.085714,0,219,0.018,46.9,1916,0.295264,1
10,0.146452,0.53,3.7062,0.012303,0.137514,1.89,0,0,81,0.055,39.8,1815,0.319505,0
11,0.135641,0.554,5.3496,0.076458,0.14161,57.9,0.018182,0,209,0.04,74.5,2335,0.26748,1
12,0.144627,0.535,4.7234,0.298842,0.118388,19.3,0.045455,0,182,0.031,56.4,2116,0.2876,1
13,0.145649,0.516,3.809,0.040066,0.206691,7.88,0.04,0,185,0.025,47.4,1808,0.295736,1
14,0.160966,0.485,10.4411,0.068838,0.188635,7.57,0.044828,1,104,0.036,33.5,1353,0.290363,1
15,0.157557,0.493,9.5804,0.330474,0.124469,11.1,0.125,1,126,0.046,50.8,1259,0.267534,1
16,0.140735,0.539,1.0156,0.016845,0.209925,31.5,0.06,0,192,0.058,87.9,2065,0.241085,1
17,0.146347,0.557,7.522,0.165611,0.226962,11.3,0.055,1,95,0.046,54.4,2044,0.272148,1
18,0.150017,0.512,1.3094,0.003204,0.167158,3.05,0,0,245,0.088,41,1549,0.29635,0
19,0.141215,0.54,1.6721,0.009652,0.120316,14.4,0,0,93,0.035,53.9,1887,0.300971,0
20,0.139801,0.522,7.0718,0.075622,0.139453,18.9,0.041026,0,177,0.033,57.4,1682,0.29112,1
21,0.166747,0.511,11.7936,0.454484,0.272403,3.99,0.062857,1,125,0.035,27.6,758,0.304716,1
22,0.139345,0.54,2.7072,0.032124,0.124998,1.48,0,0,56,0.051,42.8,1956,0.305928,0
23,0.177759,0.55,13.2054,0.26559,0.234902,10.2,0.085714,1,85,0.033,30.5,1293,0.302052,1
24,0.147975,0.529,3.4836,0.018244,0.108282,5.17,0.04,0,199,0.022,45.8,1809,0.282215,1
25,0.136333,0.537,0.807,0.037898,0.671923,2.48,0,0,298,0.066,56.5,1716,0.285512,0
26,0.135722,0.558,2.3161,0.066954,0.357172,26.8,0.03,0,145,0.051,79.6,2389,0.238399,1
27,0.168465,0.504,3.4709,0.074834,0.592128,2.02,0.028571,0,78,0.054,46.2,1681,0.300745,1
28,0.127784,0.588,8.3135,0.063561,0.225419,0.601,0.4,0,144,0.067,52.5,2294,0.286518,1
29,0.134108,0.545,1.5683,0.064604,0.266575,37.6,0.125806,0,178,0.06,80.2,2337,0.209235,1
30,0.138551,0.535,4.1335,0.065236,0.164398,48.6,0.122222,0,146,0.044,66.4,2206,0.282952,1
31,0.154608,0.488,3.8393,0.089921,0.128286,7.81,0.090909,1,132,0.038,49.6,1416,0.289952,1
32,0.132651,0.545,1.8328,0.015916,0.286917,6.55,0.075,0,98,0.065,48.1,1967,0.322941,1
33,0.145805,0.521,3.536,0.061361,0.210125,54,0.069231,0,120,0.054,65.8,2124,0.257392,1
34,0.152406,0.56,1.1084,0.018792,0.341794,5.41,0,0,148,0.072,88.4,1899,0.245577,0
35,0.175382,0.562,8.8992,0.389047,0.132698,4.05,0.216,1,123,0.034,28.8,1150,0.3206,1
36,0.154947,0.533,1.2739,0.03713,0.240531,1.57,0.1,0,282,0.028,33.1,1702,0.295194,1
37,0.162758,0.509,15.2657,0.161454,0.167163,9.76,0.038095,1,79,0.039,38.4,1238,0.297602,1
38,0.160103,0.532,11.1535,0.127692,0.252306,34.2,0.039631,1,34,0.039,59.8,1546,0.300538,1
39,0.163862,0.517,1.7368,0.017352,0.417907,3.45,0,0,104,0.052,59.9,2035,0.319185,0
40,0.168072,0.543,11.9782,0.222114,0.281749,10.4,0.032143,1,91,0.039,40.3,1593,0.27795,1
41,0.140109,0.537,3.0412,0.026258,0.193504,11.2,0.085714,0,199,0.067,53.6,2067,0.3137,1
42,0.140883,0.547,0.8477,0.012195,0.377809,17.7,0,0,101,0.029,55.5,1995,0.301385,0
43,0.162544,0.47,2.8339,0.057475,0.756579,4.59,0.032558,1,109,0.048,31.9,1840,0.30304,1
44,0.160476,0.569,2.8915,0.022442,0.357114,1.04,0,0,117,0.043,49.8,2037,0.306737,0
